epoch,loss,lr,snr,val_loss,val_snr
0,0.000211224363012,0.0005,32.3837346542,6.62552083759e-07,36.4036113608
1,5.97498214761e-07,0.0005,37.2338315722,1.06571677173e-06,34.2686136009
2,5.6937393706e-07,0.0005,37.4249788289,7.59215578329e-07,35.8421454527
3,5.45858656011e-07,0.0005,37.6046812245,7.7936433529e-07,35.8230084253
4,5.1030319884e-07,0.00025,37.8908694563,8.58018423113e-07,35.3729991394
5,5.05044837637e-07,0.00025,37.9353346939,6.30691474939e-07,36.7118107209
6,5.00822437529e-07,0.00025,37.9713963667,7.21982085214e-07,36.116632821
7,4.97153150553e-07,0.00025,38.0037762943,7.3748844333e-07,35.95726875
8,4.93924197596e-07,0.00025,38.0322175927,5.68673867553e-07,37.1206888711
9,4.91226036214e-07,0.00025,38.0557201712,6.74651667508e-07,36.4226890698
10,4.88776305432e-07,0.00025,38.0772717848,8.45139739202e-07,35.4314280437
11,4.86739048563e-07,0.00025,38.0960084907,7.27666022383e-07,36.1208975741
12,4.74675284714e-07,0.000125,38.2040937397,7.46060522025e-07,36.0695595288
13,4.73672471277e-07,0.000125,38.2132442523,7.02766419545e-07,36.3109161669
14,4.67364834081e-07,6.25e-05,38.271801742,6.94871066712e-07,36.3261273589
